SubjectID,SecondarySubjectID,FilloutDate,Q1_The course was intellectually challenging_The course was intellectually challenging,Q2_The instructor:_Conveyed enthusiasm about the course,Q2_The instructor:_Was well-prepared for classes,Q2_The instructor:_Explained course material clearly,"Q2_The instructor:_Overall, was an effective teacher","Q115_In this course, I: _Found my curiosity was sparked to ask meaningful questions","Q115_In this course, I: _Felt challenged to consider subject matter from a point of view outside of my comfort zone","Q115_In this course, I: _Reflected upon and evaluated what I learned","Q115_In this course, I: _Recognized the relevance and value of the subject matter","Q115_In this course, I: _Understood how each topic fit into the course","Q115_In this course, I: _Was intellectually stimulated","Q115_In this course, I: _Used multiple resources (e.g., internet, library holdings, outside experts) to understand the course material better","Q115_In this course, I: _Found ways to apply the course content in a meaningful way","Q115_In this course, I: _Found that hands-on projects such as research, case studies, or real life activities enhanced my understanding of course concepts","Q115_In this course, I: _Set and achieved challenging goals","Q115_In this course, I: _worked with peers in or outside of class to understand course ideas or concepts","Q115_In this course, I: _Felt challenged to think critically or creatively to complete assignments rather than just regurgitate information","Q115_In this course, I: _Felt the course environment encouraged free and open expression","Q115_In this course, I: _Was asked to do an acceptable amount of work for this course","Q116_In this course, the instructor:_Provided meaningful feedback on my academic performance","Q116_In this course, the instructor:_Found ways to help students learn or work more effectively","Q116_In this course, the instructor:_Explained course material clearly and concisely","Q116_In this course, the instructor:_Encouraged student-faculty interaction outside of class (e.g., office visits, email, etc.)","Q116_In this course, the instructor:_Demonstrated humility (e.g., the willingness and ability to learn new knowledge and skills or explore alternative viewpoints)","Q116_In this course, the instructor:_Showed respect for students","Q117_Control / Motivation:_When this course began, I believed I could mater its content.","Q117_Control / Motivation:_As a rule, I put forth more effort than other students on academic work.","Q117_Control / Motivation:_I really wanted to take this course, regardless of who taught it.",Q117_Control / Motivation:_My background prepared me well for this course's requirements.,Q117_Control / Motivation:_This was a required course.,Q117_Control / Motivation:_I highly value the skills acquired in this course.,"Q118_On average, I spent about this number of hours OUTSIDE of class time each week on this course:_On average, I spent about this number of hours OUTSIDE of class time each week on this course:",Q119_The things that most helped my learning in this course were:,Q120_The things that most hindered my learning in this course were:,Q121_I have the following suggestions for improving this course:,Q122_What do you like about the instructor?,Q123_Any other comments:,"Q232_Enter your 1st rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q232_Enter your 1st rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q233_Enter your 2nd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q233_Enter your 2nd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q234_Enter your 3rd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q234_Enter your 3rd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q235_Enter your 4th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q235_Enter your 4th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q236_Enter your 5th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q236_Enter your 5th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q237_Enter your 6th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q237_Enter your 6th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q238_Enter your 7th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q238_Enter your 7th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q239_Enter your 8th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q239_Enter your 8th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q240_Enter your 9th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q240_Enter your 9th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q241_Enter your 10th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q241_Enter your 10th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)__QPResp",Q242_Enter your first comment question here_QPTitle,Q242_Enter your first comment question here_QPResp,Q243_Enter your second comment question here_QPTitle,Q243_Enter your second comment question here_QPResp,Q244_Enter your third comment question here_QPTitle,Q244_Enter your third comment question here_QPResp,Q245_Enter your fourth comment question here_QPTitle,Q245_Enter your fourth comment question here_QPResp,Q246_Enter your fifth comment question here_QPTitle,Q246_Enter your fifth comment question here_QPResp,Q247_Enter your sixth comment question here_QPTitle,Q247_Enter your sixth comment question here_QPResp,Q248_Enter your seventh comment question here_QPTitle,Q248_Enter your seventh comment question here_QPResp,Q249_Enter your eighth comment question here_QPTitle,Q249_Enter your eighth comment question here_QPResp,Q250_Enter your ninth comment question here_QPTitle,Q250_Enter your ninth comment question here_QPResp,Q251_Enter your tenth comment question here_QPTitle,Q251_Enter your tenth comment question here_QPResp
000829-0001,106169171,12/3/17 17:24,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Almost always,Frequently,Almost always,Partially True,Partially True,Partially True,Neutral,Definitely True,Partially True,4-Mar,Given time to work with our groups and ask you specific questions,Getting lost during long durations of code being quickly typed on screen,D/A,"extreme willingness to help, kindness, understanding",D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/6/17 10:35,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Frequently,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Frequently,Almost always,Almost always,Almost always,Almost always,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Definitely True,Partially True,Neutral,Definitely True,Definitely True,Definitely True,4-Mar,The internet,Early Class,none,He cares,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/6/17 11:38,Agree,Strongly Agree,Agree,Agree,Agree,Sometimes,Frequently,Frequently,Almost always,Almost always,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Almost always,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Definitely True,Neutral,Partially True,Partially True,Definitely True,Partially True,4-Mar,Online resources,Not many deliverables/sometimes grading unorganized,More deliverables and a structured grading system,Flexible,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/6/17 10:26,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Sometimes,Frequently,Frequently,Almost always,Almost always,Frequently,Almost always,Almost always,Almost always,Frequently,Almost always,Frequently,Almost always,Almost always,Almost always,Almost always,Frequently,Almost always,Almost always,Almost always,Partially True,Partially True,Neutral,Neutral,Definitely True,Definitely True,4-Mar,Resources online,The scale of the project,Smaller teams,Willing to help students in any way possible,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/6/17 10:37,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Frequently,Frequently,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Sometimes,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Definitely True,Partially True,Definitely True,Neutral,Definitely True,Definitely True,6-May,the many resources online and demos in class and morgan's helpfulness whenever we needed,D/A,D/A,laid back,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/6/17 10:36,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Sometimes,Frequently,Frequently,Frequently,Sometimes,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Almost always,Sometimes,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Neutral,Neutral,Neutral,Neutral,Definitely True,Partially True,4-Mar,The group projects,So much freedom that I get distracted,Have the class to work with you during class time so we gain more experience.,He created an open dialogue with the class. Making it easier to learn,I like the professors personality. He's very relatable and understands what he is teaching. ,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/5/17 12:47,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Definitely True,Definitely True,Definitely True,Definitely True,Definitely True,Definitely True,4-Mar,In class discussions. ,self&ndash;motivation ,meetings with groups to hold members accountable for the work they need to do (?),"He's cool, really cares about his students. ",D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/3/17 23:07,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Neutral,Partially True,Definitely True,Definitely True,Definitely True,Definitely True,4-Mar,Dr. Bentons assignments,waking up early,none,open minded intellectual who challenged us to code,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/6/17 10:23,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Frequently,Neutral,Partially False,Neutral,Neutral,Neutral,Partially False,4-Mar,team building ,overall just intro to software development and not knowing JavaScript was a hard transition n,I think setting timeframes and focus more on indivdual teams and componenets of the app would have been more effective than lecturing about a particular software. ,Very passionate and seems to know a lot. ,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000829-0001,106169171,12/8/17 11:15,Agree,Agree,Agree,Agree,Agree,Sometimes,Frequently,Frequently,Frequently,Sometimes,Frequently,Occasionally,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Almost always,Frequently,Frequently,Frequently,Frequently,Frequently,Almost always,Frequently,Partially True,Partially True,Neutral,Partially True,Definitely True,Partially True,6-May,online tutorials ,online tutorials ,outside research,He is relatable and realistic,n/a,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
