SubjectID,SecondarySubjectID,FilloutDate,Q1_The course was intellectually challenging_The course was intellectually challenging,Q2_The instructor:_Conveyed enthusiasm about the course,Q2_The instructor:_Was well-prepared for classes,Q2_The instructor:_Explained course material clearly,"Q2_The instructor:_Overall, was an effective teacher",Q2_The instructor:_Conveyed enthusiasm about the course_Comments_QPResp,"Q115_In this course, I: _Found my curiosity was sparked to ask meaningful questions","Q115_In this course, I: _Felt challenged to consider subject matter from a point of view outside of my comfort zone","Q115_In this course, I: _Reflected upon and evaluated what I learned","Q115_In this course, I: _Recognized the relevance and value of the subject matter","Q115_In this course, I: _Understood how each topic fit into the course","Q115_In this course, I: _Was intellectually stimulated","Q115_In this course, I: _Used multiple resources (e.g., internet, library holdings, outside experts) to understand the course material better","Q115_In this course, I: _Found ways to apply the course content in a meaningful way","Q115_In this course, I: _Found that hands-on projects such as research, case studies, or real life activities enhanced my understanding of course concepts","Q115_In this course, I: _Set and achieved challenging goals","Q115_In this course, I: _worked with peers in or outside of class to understand course ideas or concepts","Q115_In this course, I: _Felt challenged to think critically or creatively to complete assignments rather than just regurgitate information","Q115_In this course, I: _Felt the course environment encouraged free and open expression","Q115_In this course, I: _Was asked to do an acceptable amount of work for this course","Q116_In this course, the instructor:_Provided meaningful feedback on my academic performance","Q116_In this course, the instructor:_Found ways to help students learn or work more effectively","Q116_In this course, the instructor:_Explained course material clearly and concisely","Q116_In this course, the instructor:_Encouraged student-faculty interaction outside of class (e.g., office visits, email, etc.)","Q116_In this course, the instructor:_Demonstrated humility (e.g., the willingness and ability to learn new knowledge and skills or explore alternative viewpoints)","Q116_In this course, the instructor:_Showed respect for students","Q117_Control / Motivation:_When this course began, I believed I could mater its content.","Q117_Control / Motivation:_As a rule, I put forth more effort than other students on academic work.","Q117_Control / Motivation:_I really wanted to take this course, regardless of who taught it.",Q117_Control / Motivation:_My background prepared me well for this course's requirements.,Q117_Control / Motivation:_This was a required course.,Q117_Control / Motivation:_I highly value the skills acquired in this course.,"Q118_On average, I spent about this number of hours OUTSIDE of class time each week on this course:_On average, I spent about this number of hours OUTSIDE of class time each week on this course:",Q119_The things that most helped my learning in this course were:,Q120_The things that most hindered my learning in this course were:,Q121_I have the following suggestions for improving this course:,Q122_What do you like about the instructor?,Q123_Any other comments:,"Q232_Enter your 1st rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q232_Enter your 1st rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q233_Enter your 2nd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q233_Enter your 2nd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q234_Enter your 3rd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q234_Enter your 3rd rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q235_Enter your 4th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q235_Enter your 4th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q236_Enter your 5th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q236_Enter your 5th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q237_Enter your 6th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q237_Enter your 6th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q238_Enter your 7th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q238_Enter your 7th rating scale question here (Please enter the caption for the 5 to 1 scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q239_Enter your 8th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q239_Enter your 8th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q240_Enter your 9th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q240_Enter your 9th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex:  5=Strongly Agree, 1=Strongly Disagree)__QPResp","Q241_Enter your 10th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)_QPTitle","Q241_Enter your 10th rating scale question here (Please enter the caption for the 5 to 1  scale in the question: Ex: 5=Strongly Agree, 1=Strongly Disagree)__QPResp",Q242_Enter your first comment question here_QPTitle,Q242_Enter your first comment question here_QPResp,Q243_Enter your second comment question here_QPTitle,Q243_Enter your second comment question here_QPResp,Q244_Enter your third comment question here_QPTitle,Q244_Enter your third comment question here_QPResp,Q245_Enter your fourth comment question here_QPTitle,Q245_Enter your fourth comment question here_QPResp,Q246_Enter your fifth comment question here_QPTitle,Q246_Enter your fifth comment question here_QPResp,Q247_Enter your sixth comment question here_QPTitle,Q247_Enter your sixth comment question here_QPResp,Q248_Enter your seventh comment question here_QPTitle,Q248_Enter your seventh comment question here_QPResp,Q249_Enter your eighth comment question here_QPTitle,Q249_Enter your eighth comment question here_QPResp,Q250_Enter your ninth comment question here_QPTitle,Q250_Enter your ninth comment question here_QPResp,Q251_Enter your tenth comment question here_QPTitle,Q251_Enter your tenth comment question here_QPResp
000308-0001,106169171,12/6/17 9:45,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,D/A,Frequently,Sometimes,Frequently,Almost always,Frequently,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Almost always,Partially True,Definitely True,Definitely True,Partially True,Neutral,Partially True,4-Mar,Diving into working and working with my teammates,Nothing!,"More ""check&ndash;ins"" on project to ensure all teams are achieving what they want to do in a timely manner ","Morgan is relaxed, always happy to help, and passionate",N/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,12/6/17 9:56,Agree,Strongly Agree,Agree,Agree,Agree,D/A,Frequently,Frequently,Frequently,Almost always,Frequently,Frequently,Almost always,Frequently,Almost always,Sometimes,Almost always,Almost always,Almost always,Almost always,Frequently,Almost always,Frequently,Frequently,Almost always,Almost always,Partially True,Neutral,Partially True,Neutral,Definitely True,Partially True,4-Mar,"small class made it easier to ask questions. Also, Dr. Benton is very knowledgeable and can answer most of my questions, and if he is unable to, he usually googles it",early class time maybe... also not spending as much time out of class as I should have,learning how to code more in class maybe,Friendly and is excellent at bridging the professor&ndash;student gap,Dr. Benton is great!,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,12/6/17 9:48,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Dr. Benton is passionate about teaching software development,Sometimes,Occasionally,Frequently,Sometimes,Frequently,Sometimes,Almost always,Frequently,Frequently,Frequently,Almost always,Sometimes,Sometimes,Occasionally,Occasionally,Frequently,Frequently,Sometimes,Frequently,Almost always,Neutral,Definitely False,Partially False,Definitely False,Partially True,Partially True,4-Mar,The Internet,lack of previous programming experience,D/A,I really like Dr. Benton's enthusiasm for software development and that he actually cares about his students unlike some other professors I've had in the past,"This is one of those courses that you get out of it what you put into it. I needed this course as a strategic sector rather than concentration requirement for ISAT, and as a result I don't think I got as much out of it as the rest of my group but I still learned an incredible amount on the top down process of software development. It is mainly with coding our program that I struggled most. ",,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,12/5/17 11:42,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,D/A,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Occasionally,Frequently,Frequently,Almost always,Frequently,Occasionally,Frequently,Frequently,Almost always,Almost always,Almost always,Partially True,Partially True,Partially False,Neutral,Definitely True,Neutral,2-Jan,Listening to lectures and discussing concepts with the professor,Sometimes the class got behind so we skipped over some things,None,Very thoughtful and cares about students. Willing to learn and listen to your ideas,no,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,12/3/17 11:33,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,D/A,Occasionally,Hardly ever,Hardly ever,Occasionally,Frequently,Hardly ever,Frequently,Sometimes,Almost always,Occasionally,Occasionally,Occasionally,Almost always,Frequently,Occasionally,Sometimes,Sometimes,Sometimes,Frequently,Almost always,Definitely True,Partially True,Partially False,Definitely True,Definitely True,Partially True,6-May,Sitting down and coding,D/A,This should be offered as an online course. The information we learn online could easily be emailed out to students and we could simply start coding and submit assignments,D/A,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,12/6/17 9:48,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,D/A,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Almost always,Frequently,Almost always,Almost always,Almost always,Almost always,Almost always,Partially True,Partially True,Neutral,Partially True,Definitely True,Definitely True,4-Mar,The presentations helped me the most. That allowed me to see the process of creating an application from start to finish the best.,My knowledge of coding is not the strongest,Do more coding in class so we can get used to actually creating the app,Dr. Benton is always ready to help and explained the topics that we covered in class very well. ,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,12/1/17 9:33,Agree,Strongly Agree,Agree,Agree,Agree,D/A,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Frequently,Almost always,Frequently,Frequently,Sometimes,Frequently,Almost always,Almost always,Almost always,Frequently,Frequently,Frequently,Almost always,Almost always,Almost always,Definitely True,Neutral,Partially True,Partially True,Partially True,Partially True,2-Jan,Hands on coding in class,Lack of full technical understanding of framework operation,D/A,"Enthusiastic, friendly, approachable, knowledgeable",D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,11/26/17 12:44,Agree,Strongly Agree,Agree,Agree,Strongly Agree,D/A,Sometimes,Occasionally,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Occasionally,Hardly ever,Sometimes,Frequently,Sometimes,Almost always,Sometimes,Occasionally,Frequently,Frequently,Almost always,Almost always,Frequently,Neutral,Partially False,Neutral,Partially True,Definitely True,Partially True,6-May,In&ndash;class discussions and demonstrations.,lazy group members. ,D/A,"he is very fair, open&ndash;minded, and passionate about what he does and teaches. ",D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,11/30/17 9:53,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,D/A,Sometimes,Hardly ever,Occasionally,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Occasionally,Frequently,Sometimes,D/A,Sometimes,Sometimes,Frequently,Frequently,Almost always,Almost always,Frequently,Partially True,Neutral,Neutral,Neutral,Definitely True,Neutral,2-Jan,D/A,D/A,D/A,D/A,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
000308-0001,106169171,12/4/17 19:55,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,D/A,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Partially True,Partially True,Partially True,Partially True,Partially True,Partially True,4-Mar,Code Academy and project (Year long) ,N/a,n/a,"Caring, funny",D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A,,D/A
